,City,Max Temp,Lat,Lng,Humidity,Cloudiness,Wind Speed,Country,Date
0,Albany,81.0,42.6,-73.97,63,77,1.01,US,1594833642
1,Bredasdorp,50.0,-34.53,20.04,71,1,6.93,ZA,1594833642
2,Yulara,39.2,-25.24,130.99,44,0,4.7,AU,1594833642
3,Jalu,95.68,29.03,21.55,17,0,8.95,LY,1594833607
4,Sechura,71.01,-5.56,-80.82,64,84,7.83,PE,1594833642
5,Puerto Ayora,70.0,-0.74,-90.35,88,72,4.0,EC,1594833621
6,Talaya,52.23,61.38,152.75,72,94,7.81,RU,1594833643
7,Kiri Buru,76.35,22.08,85.35,92,13,3.62,IN,1594833643
8,Swellendam,50.0,-34.02,20.44,71,1,6.93,ZA,1594833643
9,Hilo,72.0,19.73,-155.09,88,1,3.36,US,1594833493
10,Jamestown,81.0,42.1,-79.24,53,1,4.7,US,1594833585
11,Beidao,65.71,34.57,105.89,80,73,3.51,CN,1594833644
12,Yellowknife,59.0,62.46,-114.35,82,75,11.41,CA,1594833644
13,Hermanus,48.0,-34.42,19.23,78,0,1.01,ZA,1594833644
14,Saint Paul Harbor,69.8,57.79,-152.41,46,1,5.82,US,1594833644
15,Tuktoyaktuk,51.8,69.45,-133.04,71,75,9.17,CA,1594833645
16,Mataura,39.0,-46.19,168.86,83,23,3.0,NZ,1594833645
17,Ahipara,57.09,-35.17,173.17,93,19,4.81,NZ,1594833645
18,Hasaki,63.0,35.73,140.83,100,75,10.29,JP,1594833645
19,Hong Kong,86.0,22.29,114.16,70,100,8.99,HK,1594833539
20,Ushuaia,30.2,-54.8,-68.3,92,40,1.59,AR,1594833592
21,Aktash,43.99,50.3,87.73,94,25,2.04,RU,1594833646
22,Rikitea,74.3,-23.12,-134.97,83,100,13.96,PF,1594833620
23,Southbridge,75.0,42.08,-72.03,69,92,4.32,US,1594833646
24,Punta Arenas,33.8,-53.15,-70.92,83,75,8.05,CL,1594833476
25,Hof,66.0,50.32,11.92,87,40,3.36,DE,1594833647
26,Bengkulu,77.49,-3.8,102.27,81,99,2.93,ID,1594833647
27,Tripoli,84.51,32.88,13.19,53,0,20.0,LY,1594833647
28,Hithadhoo,84.31,-0.6,73.08,73,91,7.2,MV,1594833647
29,Pevek,44.8,69.7,170.31,93,100,2.93,RU,1594833648
30,Broome,84.99,42.25,-75.83,53,40,3.36,US,1594833648
31,Bambous Virieux,73.0,-20.34,57.76,73,40,13.87,MU,1594833648
32,Cape Town,53.6,-33.93,18.42,50,0,3.36,ZA,1594833648
33,Betioky,63.82,-23.72,44.38,77,4,11.79,MG,1594833648
34,Provideniya,47.88,64.38,-173.3,90,100,2.59,RU,1594833649
35,Morón,57.2,-34.65,-58.62,30,0,6.93,AR,1594833649
36,Salta,60.8,-24.79,-65.41,44,40,6.93,AR,1594833649
37,Esperance,48.2,-33.87,121.9,76,0,8.05,AU,1594833649
38,Laguna,72.0,38.42,-121.42,56,1,4.7,US,1594833597
39,Östersund,62.6,63.18,14.64,67,97,11.41,SE,1594833650
40,Sitka,55.4,57.05,-135.33,87,75,9.17,US,1594833647
41,Port Alfred,55.54,-33.59,26.89,46,11,3.11,ZA,1594833650
42,Anadyr,48.0,64.75,177.48,100,40,4.47,RU,1594833650
43,Rome,91.4,34.26,-85.16,46,1,3.36,US,1594833650
44,Cidreira,54.19,-30.18,-50.21,50,0,4.59,BR,1594833651
45,Kaeo,55.0,-35.1,173.78,3,18,1.45,NZ,1594833462
46,Sinnamary,86.04,5.38,-52.95,61,0,9.69,GF,1594833651
47,Castro,66.11,-24.79,-50.01,60,4,4.16,BR,1594833651
48,New Norfolk,43.0,-42.78,147.06,87,100,1.79,AU,1594833651
49,Bandarbeyla,80.58,9.49,50.81,70,96,33.82,SO,1594833652
50,Thompson,60.8,55.74,-97.86,93,90,13.87,CA,1594833652
51,Guerrero Negro,76.1,27.98,-114.06,56,45,14.12,MX,1594833652
52,Hervey Bay,51.01,-25.3,152.85,63,0,4.0,AU,1594833652
